name,enumeration_type,npi,taxonomy,phone,address_1,city,state,postal_code
"A&L MEDICAL CENTER, INC.",NPI-2,1750251344,Family Medicine,3600767383,7400 VAN NUYS BLVD. SUITE 111 Building 3,VAN NUYS,CA,914051972
"A-ONE MEDICAL GROUP, INC. A PROFESSIONAL CORPORATION",NPI-2,1790945632,Family Medicine,626-965-1988,2705 S DIAMOND BAR BLVD,DIAMOND BAR,CA,917653512
"A-ONE MEDICAL GROUP, INC. A PROFESSIONAL CORPORATION",NPI-2,1306006655,Family Medicine,626-965-1988,2705 S DIAMOND BAR BLVD,DIAMOND BAR,CA,917653512
"A. ELAINE ASHBY, M.D., INC.",NPI-2,1558761973,Family Medicine,925-283-1210,3732 MT DIABLO BLVD STE 385,LAFAYETTE,CA,945493625
"A. ETEMADI MD, INC.",NPI-2,1497993562,Family Medicine,949-510-2259,24881 ALICIA PKWY STE N,LAGUNA HILLS,CA,926534617
"A. REENU PALIWAL MD MBA MPH, INC.",NPI-2,1427106095,"Preventive Medicine, Occupational Medicine",909-235-6770,109 CORNELL AVE,CLAREMONT,CA,917114602
A.N.A. MEDICAL ASSOCIATES INC,NPI-2,1164748513,Family Medicine,562-424-8199,2777 PACIFIC AVE,LONG BEACH,CA,908062625
A.N.A. MEDICAL CORPORATION,NPI-2,1548017098,"Family Medicine, Adult Medicine",818-421-4871,121 W LEXINGTON DR STE L300C,GLENDALE,CA,912032230
A1 SLEEP LLC,NPI-2,1720625403,Family Medicine,818-212-9791,3501 EBOE ST,IRVINE,CA,926062162
AAA FAMILY MEDICAL GROUP,NPI-2,1396147419,Family Medicine,760-242-5111,11949 HESPERIA RD STE B,HESPERIA,CA,923452181
AAA MEDICAL GROUP,NPI-2,1003336041,Family Medicine,657-251-0974,13071 BROOKHURST ST STE 150,GARDEN GROVE,CA,928431024
AAA URGENT CARE LLC,NPI-2,1780988915,Family Medicine,7053629658,14400 ROSCOE BLVD,PANORAMA CITY,CA,914023001
AADISAI MEDICAL GROUP INC,NPI-2,1316009764,Family Medicine,4741050376,5451 LA PALMA AVE,LA PALMA,CA,90623
AAFTAB MEDICAL CENTER,NPI-2,1952482366,"Family Medicine, Addiction Medicine",510-278-1123,15921 E 14TH ST,SAN LEANDRO,CA,945783005
AARON M. ROLAND,NPI-2,1720352636,Family Medicine,650-692-0977,1720 EL CAMINO REAL Floor 4,BURLINGAME,CA,940103224
1 TRUE HEALTH - CALIFORNIA PC,NPI-2,1033959770,Family Medicine,833-313-9509,4320 VIEWRIDGE AVE STE C,SAN DIEGO,CA,921231690
1CHINOMED INC,NPI-2,1952538852,Internal Medicine,909-342-8821,12188 CENTRAL AVE,CHINO,CA,917102420
1ST INDUSTRIAL MEDICAL GROUP,NPI-2,1689863995,Chiropractor,714-289-4693,1234 W CHAPMAN AVE,ORANGE,CA,928682862
"3 MUSKETEERS MEDICAL GROUP, A MEDICAL CORPORATION",NPI-2,1306561030,Internal Medicine,559-942-1223,7455 N FRESNO ST STE 202,FRESNO,CA,937202481
360 MEDICAL WEIGHT SPECIALISTS,NPI-2,1194172510,"Internal Medicine, Bariatric Medicine",925-944-5678,2255 YGNACIO VALLEY RD,WALNUT CREEK,CA,945983343
365 MDCARE INC,NPI-2,1164869780,Internal Medicine,951-637-9999,9041 MAGNOLIA AVE,RIVERSIDE,CA,925033900
"365 MEDICAL GROUP, INC",NPI-2,1780275016,Internal Medicine,714-360-0739,12865 MAIN ST STE 204,GARDEN GROVE,CA,928408200
5 RIVERS HEALTH INC,NPI-2,1497592869,Internal Medicine,916-742-7103,6839 FIVE STAR BLVD STE C,ROCKLIN,CA,956772685
5 STAR PAIN RELIEF PC,NPI-2,1154766566,Family Medicine,5768859798,44530 SAN PABLO AVE,PALM DESERT,CA,922603596
7 HEAVEN HOSPICE INC.,NPI-2,1225709769,"Internal Medicine, Hospice and Palliative Medicine",714-585-9305,10592 TRASK AVE,GARDEN GROVE,CA,928432406
"8920 MEDICAL ASSOCIATES, INC.",NPI-2,1437186798,Internal Medicine,8853848443,8920 WILSHIRE BLVD STE 635,BEVERLY HILLS,CA,902112010
9-FIVE CLINICS INC,NPI-2,1437875390,"Family Medicine, Adult Medicine",562-349-0030,9041 MAGNOLIA AVE STE 302,RIVERSIDE,CA,925033957
90265 MEDICAL GROUP INC.,NPI-2,1487140935,"Family Medicine, Addiction Medicine",310-341-0188,23661 PACIFIC COAST HIGHWAY,MALIBU,CA,90265
"9AMHEALTH MEDICAL GROUP OF CALIFORNIA, P.C.",NPI-2,1639871627,"Clinic/Center, Multi-Specialty",202-932-9958,914 N COAST HIGHWAY 101 Building 3,ENCINITAS,CA,920242074
"9AMHEALTH MEDICAL GROUP OF KANSAS, P.A.",NPI-2,1124721717,"Internal Medicine, Endocrinology, Diabetes & Metabolism",202-932-9958,914 N COAST HIGHWAY 101 STE A,ENCINITAS,CA,920242074
"9AMHEALTH MEDICAL GROUP OF NEW JERSEY, P.C.",NPI-2,1134822729,"Internal Medicine, Endocrinology, Diabetes & Metabolism",202-932-9958,914 N COAST HIGHWAY 101 STE A,ENCINITAS,CA,920242074
"9AMHEALTH MEDICAL GROUP, P.A.",NPI-2,1982304713,Family Medicine,202-932-9958,1688 MERIDIAN AVE STE 600&700,MIAMI BEACH,FL,331392710
"A BETTER WEIGH, M.D.",NPI-2,1346651429,Internal Medicine,9902335886,1665 DOMINICAN WAY,SANTA CRUZ,CA,950651580
A J KLEIN MD A PROFESSIONAL CORPORATION,NPI-2,1639487150,Internal Medicine,619-659-9555,3897 VIA PALO VERDE LAGO,ALPINE,CA,919013215
"A NOURIN, MD, INC",NPI-2,1942306550,Internal Medicine,619-733-1163,PO BOX 2211,LA MESA,CA,919432211
A PLUS WALK IN URGENT CARE,NPI-2,1407210958,Internal Medicine,951-696-7587,617 E ALVARADO ST,FALLBROOK,CA,920282315
A PLUS WALK IN URGENT CARE MEDICAL CLINIC APC,NPI-2,1750456760,Internal Medicine,951-461-6963,41880 KALMIA ST STE 100,MURRIETA,CA,925628835
A RANDOLPH PEARLSTEIN MD A MEDICAL CORPORATION,NPI-2,1063600443,Internal Medicine,6950994961,9400 BRIGHTON WAY,BEVERLY HILLS,CA,902104712
A SINGH MD PC,NPI-2,1548131634,Internal Medicine,669-900-5721,9624 SWAN LAKE DR,GRANITE BAY,CA,957466602
A&B MEDICAL CLINIC CENTER INC.,NPI-2,1295581809,Dermatology,469-669-2011,51 N 5TH AVE STE 200,ARCADIA,CA,910063712
"A&L MEDICAL CENTER, INC.",NPI-2,1750251344,Family Medicine,747-755-5335,7400 VAN NUYS BLVD. SUITE 111,VAN NUYS,CA,914051972
A-1 HEALTHCARE MANAGEMENT,NPI-2,1528683398,"Internal Medicine, Hospice and Palliative Medicine",714-650-8519,5011 ARGOSY AVE STE 4,HUNTINGTON BEACH,CA,926491002
"A. GRANT KINGSBURY, MD, INC",NPI-2,1588650626,Internal Medicine,619-298-2900,4060 4TH AVE Suite 200,SAN DIEGO,CA,921032116
A. M. MEMAR-ZIA MD INC.,NPI-2,1912250358,Internal Medicine,805-527-6666,1687 ERRINGER RD,SIMI VALLEY,CA,930656508
A. MARSH MEDICAL CLINIC,NPI-2,1609269885,"Internal Medicine, Hematology",323-604-9591,615 S ATLANTIC BLVD,LOS ANGELES,CA,900223211
A. RAY MABAQUIAO M.D. APMC,NPI-2,1861674376,"Internal Medicine, Rheumatology",760-353-0488,1745 S IMPERIAL AVE STE C,EL CENTRO,CA,922434252
"A. RICHARD ADROUNY, M.D., INC.",NPI-2,1700088556,"Internal Medicine, Medical Oncology",408-378-2111,700 W PARR AVE,LOS GATOS,CA,950321442
AAMIR A FARUQUI MD INC,NPI-2,1073776068,"Internal Medicine, Critical Care Medicine",925-934-2121,2121 YGNACIO VALLEY RD,WALNUT CREEK,CA,945983383
AAPI CENTER OF EXCELLENCE,NPI-2,1235943028,Internal Medicine,408-374-1112,320 DARDANELLI LN STE 27B,LOS GATOS,CA,950321440
"AARON C. CHIANG, M.D., INC.",NPI-2,1902464449,Internal Medicine,0547462278,2080 CENTURY PARK E STE 1605,LOS ANGELES,CA,900672019
"AARON GLUCKSMAN, MD INC.",NPI-2,1447735824,Internal Medicine,,29848 WESTHAVEN DR,AGOURA,CA,913013026
AARON I JENG MD INC,NPI-2,1083037014,Internal Medicine,,3006 S 9TH AVE Suite 200,ARCADIA,CA,910065852
AARON K TRAN MD INC,NPI-2,1376824854,Internal Medicine,310-370-4660,23639 HAWTHORNE BLVD STE 200,TORRANCE,CA,90505
"AASTA HEALTH, INC",NPI-2,1134895097,"Internal Medicine, Hospice and Palliative Medicine",818-317-9565,4301 GARRITY BLVD,NAMPA,ID,83687
ABALOS-GALITO MEDICAL SERVICE,NPI-2,1982890018,Internal Medicine,408-416-7551,3111 ANDORA DR,SAN JOSE,CA,951481202
1 TRUE HEALTH - CALIFORNIA PC,NPI-2,1033959770,Family Medicine,833-313-9509,4320 VIEWRIDGE AVE STE C Floor 4,SAN DIEGO,CA,921231690
"1ST CALL NURSING SERVICES, INC.",NPI-2,1255140836,"Nurse Practitioner, Family",619-350-4725,2815 HOWARD AVE APT 5,SAN DIEGO,CA,92104
A ABILA NURSING FNP INC,NPI-2,1437027125,"Nurse Practitioner, Family",951-701-5241,3335 REDPORT DR,CORONA,CA,928810924
A CHERISHED TOUCH NURSING PC,NPI-2,1841029659,"Nurse Practitioner, Family",5091275720,2108 N ST STE N,SACRAMENTO,CA,958165712
A LIGHT NURSING SERVICES INC,NPI-2,1821875964,"Nurse Practitioner, Family",562-331-8881,14023 PARAMOUNT BLVD,PARAMOUNT,CA,907232605
A NEW YOU BODY AND MIND WELLNESS,NPI-2,1770453961,"Nurse Practitioner, Family",401-662-7740,9448 CHANNING HILL DR,SUN CITY CENTER,FL,335730249
A OK VITALITY AND WELLNESS,NPI-2,1770391922,"Nurse Practitioner, Family",909-228-0379,601 W COUNTY LINE RD STE B,CALIMESA,CA,923201101
A PROFESSIONAL NURSING CORPORATION,NPI-2,1326824228,Nurse Practitioner,562-682-8577,4441 OWENS ST UNIT 105,CORONA,CA,928837393
A&E MEDICAL GROUP-A PROFESSIONAL NURSING CORPORATION,NPI-2,1306424502,"Nurse Practitioner, Family",747-238-2544,127 S BRAND BLVD STE 333,GLENDALE,CA,912041390
A&E PROFESSIONAL MEDICAL GROUP AND NURSING CORPORATION,NPI-2,1750017422,Nurse Practitioner,818-754-7986,6816 PACIFIC BLVD STE 210,HUNTINGTON PARK,CA,902554654
A-LIST NURSING INC,NPI-2,1376344093,"Nurse Practitioner, Family",310-904-6414,12333 1/2 W WASHINGTON BLVD,LOS ANGELES,CA,900665509
A-Z HEALTHCARE SERVICES INC,NPI-2,1619660032,"Nurse Practitioner, Primary Care",602-962-6767,14362 N FRANK LLOYD WRIGHT BLVD STE 1000,SCOTTSDALE,AZ,852608847
A-Z HEALTHCARE SERVICES INC,NPI-2,1093410946,"Clinic/Center, Primary Care",602-962-6767,4125 VERDUGO RD STE A,LOS ANGELES,CA,900653820
A2 HEALTHCARE SYSTEM,NPI-2,1457228660,"Registered Nurse, Wound Care",3450646217,818 N BROADWAY STE 205,LOS ANGELES,CA,900122342
AAI HEALTH SERVICES,NPI-2,1457762312,"Nurse Practitioner, Family",510-521-6078,1002 CENTRAL AVE,ALAMEDA,CA,945012306
AAI HEALTH SERVICES,NPI-2,1164542700,"Nurse Practitioner, Family",510-521-6078,PO BOX 836,ALAMEDA,CA,945018836
101 DENTAL GROUP,NPI-2,1760813802,"Dentist, General Practice",818-999-9900,7259 OWENSMOUTH AVE,CANOGA PARK,CA,913031530
"1012 GROUP, INC",NPI-2,1730535774,"Dentist, General Practice",650-458-3727,800 S B ST,SAN MATEO,CA,944014271
1692 TULLY DENTISTRY,NPI-2,1649406133,Dentist,408-223-6953,1692 TULLY ROAD,SAN JOSE,CA,95122
1706 SAPANA KOTHARY DDS INC,NPI-2,1013799931,"Dentist, Oral and Maxillofacial Pathology",408-478-9081,1706 WILLOW ST STE A,SAN JOSE,CA,951255216
1ST CHOICE DENTAL INC,NPI-2,1699132704,Dentist,818-761-9000,12932 VICTORY BLVD,NORTH HOLLYWOOD,CA,916062924
26 SOLUTIONS PLLC,NPI-2,1558971580,Dentist,310-351-4904,932 22ND ST,SANTA MONICA,CA,904033404
"29 PALMS DENTAL GROUP, AN NGUYEN DDS MS CORP",NPI-2,1154725612,"Dentist, General Practice",760-865-0544,73666 JOSHUA DR,TWENTYNINE PALMS,CA,922772572
"29 PALMS DENTAL GROUP, AN NGUYEN DDS MS CORP",NPI-2,1598373292,"Dentist, Periodontics",760-865-0544,73666 JOSHUA DR,TWENTYNINE PALMS,CA,922772572
2K FULLERTON DENTAL,NPI-2,1639573199,Dentist,714-526-2828,1010 E CHAPMAN AVE,FULLERTON,CA,928313812
4 U DENTAL,NPI-2,1346720042,Dentist,714-590-2828,9363 GARDEN GROVE BLVD #3,GARDEN GROVE,CA,92844
4030 DENTAL INC.,NPI-2,1275833956,Dentist,619-583-4030,6175 EL CAJON BLVD,SAN DIEGO,CA,921153915
4D MANAGEMENT INC,NPI-2,1407249204,"Dentist, Orthodontics and Dentofacial Orthopedics",,16562 REDWOOD CIR,FOUNTAIN VALLEY,CA,927082320
4UDENTAL GROUP PARTNERS,NPI-2,1457806788,Dentist,714-590-2828,9636 GARDEN GROVE BLVD STE 3,GARDEN GROVE,CA,928441590
6TH STREET FAMILY DENTAL GROUP,NPI-2,1194879627,Dentist,213-484-2100,2065 W 6TH STREET,LOS ANGELES,CA,90057
7 DAYS DENTAL,NPI-2,1831239888,"Dentist, General Practice",949-859-3988,24310 MOULTON PKWY,LAGUNA WOODS,CA,926373306
7TH AND BELL DENTAL GROUP LLP,NPI-2,1659790897,Dentist,3376277729,17000 RED HILL AVE,IRVINE,CA,926145626
A & J SABOUNJIAN DENTAL CORP,NPI-2,1043623051,Dentist,,807 RIDGE DR,GLENDALE,CA,912061754
A A SANCHEZ DENTAL CORPORATION,NPI-2,1093544611,"Dentist, General Practice",626-962-8160,14323 RAMONA BLVD,BALDWIN PARK,CA,917063242
A ALLAN YOUNG DDS,NPI-2,1871681197,Dentist,949-496-1221,657 CAMINO DE LOS MARES,SAN CLEMENTE,CA,92673
A ARORA DENTAL PC,NPI-2,1427554906,"Dentist, General Practice",,1 TWIN PINES LN STE 125,BELMONT,CA,940023894
A BEAUTIFUL SMILE MEANS A BETTER LIFE,NPI-2,1588828636,"Dentist, General Practice",562-920-8324,10106 ALONDRA BL STE B,BELLFLOWER,CA,907063904
A BEAUTIFUL SMILE MEANS A BETTER LIFE 2,NPI-2,1154588895,"Dentist, General Practice",562-861-0496,11411 BROOKSHIRE AVE STE 405,DOWNEY,CA,90241
A BEAUTIFUL SMILE MEANS A BETTER LIFE 3,NPI-2,1356518310,"Dentist, General Practice",562-430-2740,5512 BRITTON DR STE 208,LONG BEACH,CA,90815
A BEST CARE OF DENTISTRY INC,NPI-2,1972245348,"Dentist, General Practice",310-373-9522,22750 HAWTHORNE BLVD,TORRANCE,CA,905053664
"A DABROWSKA DDS, INC",NPI-2,1972135283,Dentist,818-468-1853,390 N. PACIFIC COAST HWY #1050,EL SEGUNDO,CA,90245
A DENTAL GROUP OF WILLIAM E. VICKERMAN DDS,NPI-2,1356724587,Dentist,562-202-5741,18000 STUDEBAKER RD STE 365,CERRITOS,CA,907032690
A DOSHI DENTAL CORP,NPI-2,1518186352,Dentist,559-747-3572,680 E VISALIA ROAD Apt 5B,FARMERSVILLE,CA,93223
A DOSHI DENTAL CORP,NPI-2,1912123217,Dentist,559-224-3110,PO BOX 5597,FRESNO,CA,93755
A FAR HADIAN DENTAL GROUP INC,NPI-2,1750168878,Dentist,747-300-9876,16829-31 DEVONSHIRE ST,GRANADA HILLS,CA,91344
A JHANG DDS INC,NPI-2,1508977760,Dentist,209-957-8940,4534 PRECISSI LN STE A,STOCKTON,CA,952076213
A K SHMARA DENTAL CORPORARTION,NPI-2,1477190445,Dentist,951-352-2227,4959 ARLINGTON AVE,RIVERSIDE,CA,92504
A LAPSI DDS INC.,NPI-2,1225316607,"Dentist, General Practice",760-634-2244,7740 EL CAMINO REAL,CARLSBAD,CA,920098513
"A MALHOTRA BAKERSFIELD DENTAL OFFICE, INC",NPI-2,1659403210,"Dentist, Endodontics",661-324-7668,1900 TRUXTUN AVE # 1,BAKERSFIELD,CA,933015032
A MEDINA PROFESSIONAL DENTAL CORPORATION,NPI-2,1114167186,Dentist,619-420-6030,309 THIRD AVENUE,CHULA VISTA,CA,919103910
A MIRACLE SMILE BY DR. DEZHAM DENTAL GROUP,NPI-2,1770775447,Dentist,916-441-3311,2131 CAPITOL AVE STE 100,SACRAMENTO,CA,958165755
A MIRACLE SMILE BY DR. DEZHAM DENTAL GROUP INC.,NPI-2,1750914016,Dentist,916-441-3311,3009 K ST STE 255,SACRAMENTO,CA,958165252
A MOLA DDS APC,NPI-2,1043791890,"Dentist, General Practice",415-499-9300,1050 NORTHGATE DR STE 505,SAN RAFAEL,CA,949032542
A MORVARID DDS INC,NPI-2,1205932647,Dentist,7649080587,19100 VENTURA BLVD,TARZANA,CA,913553234
A P SINGH DENTAL CORP,NPI-2,1477866481,Dentist,8709636480,2431 YALONDA LN,TURLOCK,CA,953828700
"A PARIKH DDS, INC",NPI-2,1366783581,Dentist,650-871-2917,1490 EL CAMINO REAL,SAN BRUNO,CA,940665301
"A PLANT DENTAL CENTER, INC",NPI-2,1518261783,Dentist,909-483-0600,7333 HELLMAN AVE,RANCHO CUCAMONGA,CA,917301302
A PLUS DENTAL,NPI-2,1417385832,Dentist,213-380-1894,2520 W 8TH ST,LOS ANGELES,CA,900573861
A PROFESSIONAL DENTAL CORP.,NPI-2,1639174279,"Dentist, Periodontics",925-756-7884,3505 LONE TREE WAY,ANTIOCH,CA,945096067
A PROFESSIONAL DENTAL CORPORATION,NPI-2,1003020280,"Dentist, Orthodontics and Dentofacial Orthopedics",530-662-9191,1204 COTTONWOOD ST,WOODLAND,CA,956954362
A RINCON DDS INC,NPI-2,1053960575,"Dentist, General Practice",951-674-4800,2503 E LAKESHORE DR STE E,LAKE ELSINORE,CA,925304433
A S GILL DENTAL CORP,NPI-2,1518575471,"Dentist, General Practice",646-275-6836,1548 MAEHL DR Apt 5B,MANTECA,CA,953377215
A SABBAGH-FARD DDS & P. MASTOUR DDS INC,NPI-2,1568710333,"Dentist, Periodontics",310-390-6212,5620 SAWTELLE BLVD,CULVER CITY,CA,902305508
A SANCHEZ DENTAL CORPORATION,NPI-2,1053129700,Dentist,626-346-3014,15618 GALE AVE STE A,HACIENDA HEIGHTS,CA,917451510
A SCOTT GRIVAS III DDS INC,NPI-2,1649625781,Dentist,916-929-9222,2 SCRIPPS DR,SACRAMENTO,CA,958256207
A VALLARINE DDS INC,NPI-2,1306565882,Dentist,209-669-8120,1729 N OLIVE AVE,TURLOCK,CA,953822501
.HANEY CHIROPRACTICPC.,NPI-2,1902868623,Chiropractor,6886786498,36734 AVENUE 12 Floor 4,MADERA,CA,936368774
1 WORLD DME LLC,NPI-2,1386940344,Chiropractor,408-261-0772,2910 STEVENS CREEK BLVD Apt 5B,SAN JOSE,CA,951282015
"100 CHIRO DEL SUR, LLC",NPI-2,1598349722,Chiropractor,,16490 PASEO DEL SUR STE 115 Floor 4,SAN DIEGO,CA,921274203
100 CHIRO LIVINGOOD HORA PC INC APC,NPI-2,1336866920,Chiropractor,669-263-6971,1411 BERRYESSA RD UNIT 40,SAN JOSE,CA,951331014
100 CHIRO LIVINGOOD JEN AND BREN PC INC APC,NPI-2,1083367510,Chiropractor,949-994-9905,30301 GOLDEN LANTERN STE C,LAGUNA NIGUEL,CA,926775990
100 CHIRO PETERSON TWO LLC,NPI-2,1033722533,Chiropractor,719-251-7708,272 N EL CAMINO REAL STE C,ENCINITAS,CA,920242857
100 CHIROPRACTIC CHAD BRANDON APC,NPI-2,1790497329,Chiropractor,,24471 ALICIA PKWY STE 2,MISSION VIEJO,CA,926914542
100 CHIROPRACTIC GRANT DEL SUR INC,NPI-2,1699568147,Chiropractor,858-524-1091,16490 PASEO DEL SUR STE 115,SAN DIEGO,CA,921274203
100 CHIROPRACTIC GRANT HB INC,NPI-2,1881584282,Chiropractor,,20551 N PIMA RD STE 100,SCOTTSDALE,AZ,852559154
100 CHIROPRACTIC GRANT LN INC,NPI-2,1326938721,Chiropractor,,20551 N PIMA RD STE 100,SCOTTSDALE,AZ,852559154
100 CHIROPRACTIC GRANT SE INC,NPI-2,1871483289,Chiropractor,,20551 N PIMA RD STE 100,SCOTTSDALE,AZ,852559154
100 CHIROPRACTIC GRIFFGOOD APC,NPI-2,1295426054,Chiropractor,,230 EL CERRITO PLZ STE J021,EL CERRITO,CA,945304003
100 CHIROPRACTIC GRIFFITH JOHNSON APC,NPI-2,1477447340,Chiropractor,,230 EL CERRITO PLZ STE J021,EL CERRITO,CA,945304003
100 CHIROPRACTIC HELFRICH HB INC,NPI-2,1255119038,Chiropractor,657-204-3533,7071 WARNER AVE STE C,HUNTINGTON BEACH,CA,926475444
100 CHIROPRACTIC HELFRICH SJ INC,NPI-2,1811775620,Chiropractor,669-263-6971,1411 BERRYESSA RD UNIT 40,SAN JOSE,CA,951331014
"100 CHIROPRACTIC HERMOSA BEACH, APC",NPI-2,1124764188,Chiropractor,,1559 PACIFIC COAST HWY STE 105,HERMOSA BEACH,CA,902543214
100 CHIROPRACTIC KARSANTO APC,NPI-2,1316725120,Chiropractor,719-217-0895,1351 MEDICAL CENTER DR STE A,CHULA VISTA,CA,919116977
"100 CHIROPRACTIC LABAU, INC",NPI-2,1861060550,Chiropractor,1743871818,25005 BLUE RAVINE RD STE 130,FOLSOM,CA,956305706
100 CHIROPRACTIC LGOOD FOL INC,NPI-2,1497523492,Chiropractor,916-932-4838,25005 BLUE RAVINE RD STE 130,FOLSOM,CA,956305706
100 CHIROPRACTIC LIVINGOOD MILLER APC,NPI-2,1689319139,Chiropractor,,7071 WARNER AVE STE C,HUNTINGTON BEACH,CA,926475444
100 CHIROPRACTIC LIVINGOOD STOBART PC INC APC,NPI-2,1164147294,Chiropractor,949-374-5377,3995 ALTON PKWY STE C,IRVINE,CA,926068271
100 CHIROPRACTIC LJ LIVINGOOD APC,NPI-2,1386336048,Chiropractor,,8935 TOWNE CENTRE DR STE 105,SAN DIEGO,CA,921225610
100 CHIROPRACTIC PANCHAL JOHNSON APC,NPI-2,1124812904,Chiropractor,9269829440,1921 W IMPERIAL HWY STE B,LA HABRA,CA,906310613
100 CHIROPRACTIC PANCHAL LIVINGOOD APC,NPI-2,1255034864,Chiropractor,,1921 W IMPERIAL HWY STE B Unit 9,LA HABRA,CA,906310613
100 CHIROPRACTIC PANCHAL LIVINGOOD APC,NPI-2,1528621844,Chiropractor,714-872-3040,1921 W IMPERIAL HWY STE B,LA HABRA,CA,906310613
"100 CHIROPRACTIC PUNGHORST, INC",NPI-2,1962179929,Chiropractor,760-696-6070,32909 TEMECULA PKWY STE 106,TEMECULA,CA,925926907
100 CHIROPRACTIC SIETSEMA INC,NPI-2,1902409030,Chiropractor,760-230-2145,272 N EL CAMINO REAL STE C Unit 9,ENCINITAS,CA,920242857
100 CHIROPRACTIC THOMAS APC,NPI-2,1881376465,Chiropractor,7267127458,1835 NEWPORT BLVD STE D263,COSTA MESA,CA,926275013
